stable_key,identity_synthetic,status
synthetic:db91d5ee11fd84642287a834976736457460b789baa3d8cd989878cca3ee64ec,true,excluída
synthetic:03577e86f46fced0cdb3bb19f590c9b8c018e8d4b46f205073d8e0c06586a871,true,excluída
synthetic:1d6a2d267faf469acadb54df64850d85d959113f60292bf6c0bb619c9edeba8d,true,excluída
synthetic:80b62f3a3d44937013395975371791e43239488fdc07f33b305d9804692b7467,true,excluída
synthetic:5cea9effda430a4c4a38e7285fc4028c6e1b64d0acee4cfb011a52275fb98b0e,true,excluída
synthetic:ec3ee1a8ca7a92ce3579825246940caf1279d4171489ca4ba690ee88a7a53efe,true,excluída
synthetic:ed6b8258beb7d09de819b966fa8e226f1d7571b78d6d5a99a1937cfc60ece62e,true,excluída
synthetic:65a5bf2dddc75677b8f596a3a70b4cc4b2d6e9d661ba6fef5da0a8b31f18821a,true,excluída
synthetic:65b029ac8d4ae7f15f485cba203964b9677bffcd1084a171b0354ca6c14d600b,true,excluída
synthetic:352fafeaf5fbacd28c72d3b0f551bc7970b9fd437bf489d0bebde09c1d768e06,true,excluída
synthetic:7b9a4ea8c51d6009b78de5cf9089d74b61ce1e7a7263c357766eeaeb3cfc8631,true,excluída
synthetic:1de3094902421b8efa55512648a5e71b44b33e349338458330091e3d049c02c1,true,excluída
synthetic:427853850c179cf5d643d4d8e95c20df763a9b21d1baeb3300813dc008e9f7f3,true,excluída
synthetic:711475a4ab7f76dd63c7bf56537b25c50e359248724b252053365601fb6799a6,true,excluída
synthetic:cc11fb8f2dadccbf0baef1e78ced9f83b45e7cf3a540ce2b21ca193018f033e7,true,excluída
synthetic:aab0e82c3d46af850ccbef8c2ebc0c49ba8c8d47fbe48743813fbf315b98d878,true,excluída
synthetic:7c75f8ee1b2016f0f93f34c8c34f546fd55b61691ae8ea8a1605cbd4358d3e98,true,excluída
synthetic:7e82025e6b5e1303503152b9f88fc13e63a008dfb3c7ac76610b43111c27e595,true,excluída
synthetic:0b2e348d3fb999bb6b66363eb77943e96ff1f8d7d8f2ed54a94f780a8f721cfd,true,excluída
synthetic:38fce117a0965437e2ee6007372e6f37334ddc799ae1fbbf14e6f8af8bbab77c,true,excluída
synthetic:bc315dbc81394846537e16a0663035ee4200a2bbeb3308394fa0c2145a99ef58,true,excluída
synthetic:462870e8f93d57f876103f68082cb90565282d4af13ca497422804d675a1f749,true,excluída
synthetic:12e78ac3c53eae5778ee23bfca3320c00fbe4750fce7ab7badecb7d024cf8d25,true,excluída
synthetic:577e1f5c0f89e848c55f47f39355b1aa5391845c55c5b64d7516880f8a869ef2,true,excluída
synthetic:ca3f1b02b160227985092a2c3721f5333470aeb1f82ddf8f619d6070c6980a50,true,excluída
synthetic:c81525b3210aca15dc133e9b7fbd93d7f6dfc982e1de8bbfd8c1b1de32783ade,true,excluída
synthetic:6d7c408e78922f987906fde37c274cec7aa8e01c4a6abccddfc31923b60911de,true,excluída
synthetic:4639d024ca14a3b822f15be79e9c778b8eada2d08e7be0523102ee7d14b33d0d,true,excluída
synthetic:648e6e743b13cccae54eae952cdbc67274fdf5253941bc80945cb03058e47efc,true,excluída
synthetic:71fa55c21fc5abe368e98fda2a2694e11846c25b4895a9e45be62d90c74b900d,true,excluída
synthetic:665c1f7013a22f699f4dc5fd7752c9bab667cbd9175382770c77553e625917d8,true,excluída
synthetic:6d6bcebe448272646d10b64bfb94d2efd080c38da7613030dfb22af15e8c6b08,true,excluída
synthetic:bc73e6443cef49bfcdc7d625c652911f6d0fe8381e9b65f115f9763062cb354a,true,excluída
synthetic:85547d1d1d0b21bb0148ee40e0bd362686b9223b3262f60c03f7f4ebb9aa9fe9,true,excluída
synthetic:e7d993832984e2098f9f6d19f85ccdd80b100a2ef5b1f12dbe1ff73bc9d9a0cd,true,excluída
synthetic:c3a760c1c7ec9d24610c59300cea31ada6d642238091e14a58fb6a884046fe3e,true,excluída
synthetic:7ae9aa46a6bfe666ea003a571f9b8898b43f1d8fe19d7d69a6f41afcc15c6a4c,true,excluída
synthetic:4ae4930ed44dc4af88fd612f7e9a02b18ffa6abc039143c6910176d97896c30d,true,excluída
synthetic:96c63e2bb93e0a5ae2ba7d7a010a3b2c52180dbf488823aefdd02b182332b246,true,excluída
synthetic:41b0db709b8542b12bd03e131aa01dfa2848294767778f5873af00eb2811f3cb,true,excluída
synthetic:df77913636324bb3445bb32d3e9e90b82a4d9c444b71d8025e82e5cd4221d41c,true,excluída
synthetic:b302d4a96035049cc5b21fe837ed5dc9f2c83605b5720edcc86c784f7c3dcdca,true,excluída
synthetic:bd248b7ea9d5d0144a1e77d08ad4efff9c1d7342eba729fd9e169850d4070a37,true,excluída
synthetic:7aaea93cbd0ff5200d8c5fed2de9db5e438643e2c3b73b364f23a2ce12681462,true,excluída
synthetic:c10fc74e0c88858f2aa6784ac725967396269922e332c961d37181136c7368d0,true,excluída
synthetic:3806e1fad530fcc80da93eaaeabdcd946208dad4b577130394790b0aa77c425f,true,excluída
synthetic:4028cf98bbeb42fd59bc44e2464270794532356626922a8ced1290b3335133ff,true,excluída
synthetic:699b41ebabc6e9aa0d2352440d8724d9f8121903d0d1dfc368ad693f8d89df73,true,excluída
synthetic:d9eb2d07959e8b411f0e1c8de0117dbfb43eccba32beab220ab136988b251534,true,excluída
synthetic:66bcfb043f22d332cbb2bcacfe26ff84e7bfcfa275f51c6e18436b8521dd6ec4,true,excluída
synthetic:8f329f588384a516aeb683b741d9c127956ddc0c136f45c17968ec69bc6b19f6,true,excluída
synthetic:b50e659b159960ab575f2918e9ace403bc947d6089addd647e9f2de2c908ffd2,true,excluída
synthetic:509e41a17ac40b15813a8152cd91fe0b70289918ecec7035ead58b6b88d965c0,true,excluída
synthetic:558a6d84bacb3b26d55c84bdb64e3a640e0a372e90a42327418a3963da553bea,true,excluída
synthetic:e9b95fcc15aa3736f7f8c57d4127b0fe97fbbf62798802a281cf9427862c95b9,true,excluída
synthetic:bf0ed95ccb33a690f7f26e4f183400c7f033b4d7e881732dcc5ba0faf75bedf3,true,excluída
synthetic:43b17ec117d592010fd609f95828cd237db65d52e361d2e8e43920ef2b10bee9,true,excluída
synthetic:61d24f6db8996b37f6710a44d94a5b15317ebaae9662636ca2f18847b268eb6d,true,excluída
synthetic:e58683679f9989cf11e2c26090531ebc6f4ff5b3cceec568bbca2a40894502fa,true,excluída
synthetic:28ce686b3e8782634eff3c33d40a916c1e6d91eb8252f85fffb65f0e358fcbe9,true,excluída
synthetic:e47bf38201d824f3d7f3b50ed9ea872d81be406a804b02fa5a7e5eed97c29b27,true,excluída
synthetic:9a5a35cdf9514c7d25ebb6a85936e42c82effea0d1ec4b847c0fff5cb9ef306e,true,excluída
synthetic:77b53c700d0f4b4f8281e6727cdc07c42f5350eee5c4fcddeaa7f80b08a0662a,true,excluída
synthetic:7674ec96d1848b739c9ed3c8b5ef7320bc11d415eac7cfae1a795d94ba82f8d3,true,excluída
synthetic:2fb1452491fa78ef16c2448ec8f379fcc66abe79777158b47dbc5a0700d409f6,true,excluída
synthetic:f757bb2e99d8684e04b9ae4b4ad042bc4b8d6a363788412cfcfaa94a60fa3ab2,true,excluída
synthetic:ff19df84eafd7ad617f6e879fdb311d2cbbb30515caf8b21f628a43ea8483bed,true,excluída
synthetic:d5ab266db8e4060a09ea8bddb6809592c2be2799839607f1d7d200760ec9b454,true,excluída
synthetic:576430d144a2842091ec46c813bddb4ee14b22ebb368d2a097e03d6b290c6ff0,true,excluída
synthetic:7644bfece5cf4662921906a53f022dca776b32909e3e810840345416522db8b0,true,excluída
synthetic:8dd1d1c71092f748b689bfa82b2c7c19dbcebfd1c2870fcf089439f2f6a378d1,true,excluída
synthetic:853d4acaa3215ad601f79bc8101c56f3365775e77448e527277a132e6a6b9dfe,true,excluída
synthetic:f308d19e4bc9e4e5ab468cd1c437f2dc124b10006e5e3f97a80f4e539d0420d6,true,excluída
synthetic:131c7b32d1048ef2a8926d633e7df49748c3d1a0020559c7c3131dc45530a784,true,excluída
synthetic:a71988953adc93617b8c2eb6e9827bb278e18211a008887ce8825cd2a92b5bbe,true,excluída
synthetic:d9187f78aecc381cd1625f7919219e12aa5d5f9cc2c7829a7640bce194cf8dce,true,excluída
synthetic:c167acec57c572a5fd578e6bdac822d36842d40002f5d080dc5895525e0366c1,true,excluída
synthetic:3da459aec52d5651f84443d9c1d41d2421741e4cf936f711f64de5b2560c252c,true,excluída
synthetic:824745c52ca14c052fc4350014e59043c9b7e1a2ac4f242949bdf64ba4ea05ee,true,excluída
synthetic:f9ec6c596a83fd0bb8629e85d4d4c30ab84b02554bd863fdf320850cdf12dd4f,true,excluída
synthetic:217a548985eb724903b0998a0d4914bcb70e61694b9e6edaa13d081870d75719,true,excluída
synthetic:954df8ae888a7271e88c5792417b9a25704fe5ed4bcd182e804bd1aefbf0ed0d,true,excluída
synthetic:44211aee44176ac5ce7dcc5fde15b8e5b97241f72d250964d38c0c3cbd8f6bf4,true,excluída
synthetic:4b330fd47edf8de63ac30bc01c1dd5c4b1d93dbf6364069d2243773fb2ad8e05,true,excluída
synthetic:912cdc481f034dd874ce5284d9d33156bd562144364157c91b35e33a43ea6c5c,true,excluída
cnpj:05419205000120,false,excluída
cnpj:04858642000187,false,excluída
cnpj:10344860000104,false,excluída
